Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
AmazonOffice,VAECF,5%,20%,CP,0.000005,0.003,0.01688,0.04868,0.01503,0.01551,0.04508,0.01379,0.042,0.05108,0.04147,5.70171,5.55761,5.71009,23.01,14.29,22.26,16321,8159,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.000005,0.0005,0.01714,0.051,0.01517,0.01592,0.04754,0.01407,0.04297,0.05398,0.04233,5.64826,5.41457,5.66187,22.76,14.73,22.32,17628,6852,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.000005,0.0001,0.01733,0.05173,0.01532,0.01605,0.04836,0.01417,0.04301,0.05501,0.04232,5.60668,5.38332,5.61968,22.45,14.04,22.07,18531,5949,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.000005,0.00005,0.01727,0.05165,0.01526,0.01601,0.04836,0.01412,0.0429,0.05501,0.0422,5.59926,5.37851,5.61211,22.26,13.92,21.94,18701,5779,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.000005,0.00005,0.01727,0.05165,0.01526,0.01601,0.04836,0.01412,0.0429,0.05501,0.0422,5.59926,5.37851,5.61211,22.26,13.92,21.94,18701,5779,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.000005,0.00005,0.01727,0.05165,0.01526,0.01601,0.04836,0.01412,0.0429,0.05501,0.0422,5.59926,5.37851,5.61211,22.26,13.92,21.94,18701,5779,24480==24480.0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
